frame,track_id,class_name,x1,y1,x2,y2,center_x,center_y,bottom_x,bottom_y
1,1,bus,338.0765686035156,30.5838623046875,388.9130554199219,85.95454406738281,363.49481201171875,58.269203186035156,363.49481201171875,85.95454406738281
1,2,car,440.235595703125,77.91920471191406,477.3358154296875,109.42822265625,458.78570556640625,93.67371368408203,458.78570556640625,109.42822265625
1,3,car,240.817138671875,135.6060791015625,309.91876220703125,194.5281982421875,275.3679504394531,165.067138671875,275.3679504394531,194.5281982421875
1,4,car,103.226806640625,244.60693359375,274.6029357910156,357.75531005859375,188.9148712158203,301.1811218261719,188.9148712158203,357.75531005859375
1,5,car,389.017333984375,79.26727294921875,431.9219970703125,112.459228515625,410.46966552734375,95.86325073242188,410.46966552734375,112.459228515625
1,9,motorcycle,434.7592468261719,189.96900939941406,464.4883728027344,235.48402404785156,449.6238098144531,212.7265167236328,449.6238098144531,235.48402404785156
1,10,motorcycle,349.024169921875,95.67848205566406,371.3275146484375,124.76942443847656,360.17584228515625,110.22395324707031,360.17584228515625,124.76942443847656
1,12,motorcycle,467.3795471191406,174.46844482421875,485.1848449707031,205.51788330078125,476.2821960449219,189.9931640625,476.2821960449219,205.51788330078125
1,13,motorcycle,126.1441650390625,154.98394775390625,163.2471923828125,190.90042114257812,144.6956787109375,172.9421844482422,144.6956787109375,190.90042114257812
1,14,motorcycle,70.2655029296875,291.48114013671875,116.0250244140625,360.0,93.145263671875,325.7405700683594,93.145263671875,360.0
1,15,motorcycle,316.86956787109375,102.93962097167969,333.31024169921875,132.70030212402344,325.08990478515625,117.81996154785156,325.08990478515625,132.70030212402344
1,17,motorcycle,466.98968505859375,161.20513916015625,485.97674560546875,206.04217529296875,476.48321533203125,183.6236572265625,476.48321533203125,206.04217529296875
1,18,motorcycle,319.866455078125,95.98910522460938,333.4683837890625,131.68319702148438,326.66741943359375,113.83615112304688,326.66741943359375,131.68319702148438
1,20,motorcycle,352.01275634765625,87.58935546875,371.22857666015625,123.44627380371094,361.62066650390625,105.51781463623047,361.62066650390625,123.44627380371094
2,1,bus,336.299560546875,30.429670333862305,387.9126281738281,86.68250274658203,362.1060791015625,58.556087493896484,362.1060791015625,86.68250274658203
2,2,car,440.1888122558594,77.94456481933594,477.2762451171875,109.44255065917969,458.7325439453125,93.69355773925781,458.7325439453125,109.44255065917969
2,3,car,239.45523071289062,136.9794921875,308.5157775878906,195.87196350097656,273.9855041503906,166.42572021484375,273.9855041503906,195.87196350097656
2,4,car,101.04195404052734,249.30953979492188,265.4148864746094,357.6866149902344,183.22842407226562,303.4980773925781,183.22842407226562,357.6866149902344
2,5,car,388.936767578125,78.98268127441406,431.91522216796875,112.23528289794922,410.4259948730469,95.60897827148438,410.4259948730469,112.23528289794922
2,9,motorcycle,435.6873779296875,195.78326416015625,459.16278076171875,231.4879608154297,447.4250793457031,213.6356201171875,447.4250793457031,231.4879608154297
2,10,motorcycle,351.1247253417969,101.54893493652344,369.8453674316406,125.92919921875,360.48504638671875,113.73906707763672,360.48504638671875,125.92919921875
2,12,motorcycle,467.5655212402344,173.79298400878906,485.021240234375,204.19822692871094,476.29339599609375,188.99560546875,476.29339599609375,204.19822692871094
2,13,motorcycle,127.07537078857422,156.3677520751953,162.84324645996094,190.9619140625,144.9593048095703,173.66482543945312,144.9593048095703,190.9619140625
2,14,motorcycle,68.23912048339844,297.3015441894531,110.2057113647461,360.0,89.222412109375,328.6507568359375,89.222412109375,360.0
2,15,motorcycle,316.87750244140625,107.69339752197266,331.4232482910156,133.91981506347656,324.150390625,120.80661010742188,324.150390625,133.91981506347656
2,18,motorcycle,317.9932556152344,94.42971801757812,332.8065185546875,133.32765197753906,325.39990234375,113.8786849975586,325.39990234375,133.32765197753906
2,20,motorcycle,352.2750549316406,92.43319702148438,369.97528076171875,125.41727447509766,361.12518310546875,108.92523193359375,361.12518310546875,125.41727447509766
3,1,bus,336.19781494140625,30.713518142700195,388.1915283203125,87.29600524902344,362.1946716308594,59.0047607421875,362.1946716308594,87.29600524902344
3,2,car,439.9795227050781,78.0240707397461,476.8428039550781,109.33293151855469,458.4111633300781,93.67849731445312,458.4111633300781,109.33293151855469
3,3,car,233.98880004882812,139.5407257080078,306.839599609375,201.7259979248047,270.4141845703125,170.63336181640625,270.4141845703125,201.7259979248047
3,4,car,95.97706604003906,257.47747802734375,249.3764190673828,357.94439697265625,172.67674255371094,307.7109375,172.67674255371094,357.94439697265625
3,5,car,388.5171203613281,78.83255767822266,431.1045837402344,111.74765014648438,409.81085205078125,95.29010009765625,409.81085205078125,111.74765014648438
3,9,motorcycle,434.9228515625,193.37832641601562,455.5390625,224.423583984375,445.23095703125,208.9009552001953,445.23095703125,224.423583984375
3,10,motorcycle,349.557861328125,103.3584976196289,369.717041015625,129.63612365722656,359.637451171875,116.497314453125,359.637451171875,129.63612365722656
3,12,motorcycle,467.6754150390625,172.93145751953125,484.40032958984375,202.0348663330078,476.0378723144531,187.483154296875,476.0378723144531,202.0348663330078
3,13,motorcycle,126.53712463378906,156.14630126953125,162.66732788085938,191.07545471191406,144.60223388671875,173.61087036132812,144.60223388671875,191.07545471191406
3,15,motorcycle,314.9932861328125,105.71011352539062,331.6160583496094,135.74192810058594,323.3046875,120.72602081298828,323.3046875,135.74192810058594
3,17,motorcycle,465.92376708984375,157.29849243164062,484.6610412597656,201.52308654785156,475.29241943359375,179.41079711914062,475.29241943359375,201.52308654785156
4,1,bus,336.57623291015625,31.22308349609375,388.2349548339844,87.18572998046875,362.40557861328125,59.20440673828125,362.40557861328125,87.18572998046875
4,2,car,439.9346008300781,78.04924774169922,476.7649230957031,109.3350830078125,458.3497619628906,93.69216918945312,458.3497619628906,109.3350830078125
4,3,car,229.76344299316406,141.59841918945312,304.6959228515625,205.6071319580078,267.22967529296875,173.602783203125,267.22967529296875,205.6071319580078
4,4,car,95.7278060913086,265.0673522949219,239.31719970703125,358.05743408203125,167.5225067138672,311.5623779296875,167.5225067138672,358.05743408203125
4,5,car,388.7720642089844,78.5970687866211,431.2801513671875,111.44590759277344,410.026123046875,95.021484375,410.026123046875,111.44590759277344
4,10,motorcycle,347.1160888671875,99.42171478271484,371.340087890625,131.30186462402344,359.22808837890625,115.36178588867188,359.22808837890625,131.30186462402344
4,12,motorcycle,467.1502990722656,170.74954223632812,484.2056884765625,200.40264892578125,475.677978515625,185.5760955810547,475.677978515625,200.40264892578125
4,13,motorcycle,126.27490997314453,155.6125946044922,163.0072479248047,191.11729431152344,144.64108276367188,173.3649444580078,144.64108276367188,191.11729431152344
