frame,track_id,class_name,x1,y1,x2,y2,center_x,center_y,bottom_x,bottom_y,lane_name,direction,wrong_lane,wrong_direction,violation_type,has_violation
1,2,car,440.235595703125,77.91920471191406,477.3358154296875,109.42822265625,458.78570556640625,93.67371368408205,458.78570556640625,109.42822265625,lane_1,down,True,True,wrong_direction,True
2,2,car,440.1888122558594,77.94456481933594,477.2762451171875,109.44255065917967,458.7325439453125,93.6935577392578,458.7325439453125,109.44255065917967,lane_1,down,True,True,wrong_direction,True
3,2,car,439.9795227050781,78.0240707397461,476.8428039550781,109.33293151855467,458.4111633300781,93.67849731445312,458.4111633300781,109.33293151855467,lane_1,down,True,True,wrong_direction,True
4,2,car,439.9346008300781,78.04924774169922,476.7649230957031,109.3350830078125,458.3497619628906,93.69216918945312,458.3497619628906,109.3350830078125,lane_1,down,True,True,wrong_direction,True
5,2,car,439.9248962402344,78.10330963134766,476.60052490234375,109.24951171875,458.2626953125,93.67640686035156,458.2626953125,109.24951171875,lane_1,down,True,True,wrong_direction,True
6,2,car,439.88385009765625,78.06834411621094,476.54156494140625,109.1898422241211,458.2127075195313,93.62908935546876,458.2127075195313,109.1898422241211,lane_1,down,True,True,wrong_direction,True
7,2,car,439.81158447265625,78.08384704589844,476.5495910644531,109.26720428466795,458.18060302734375,93.67552185058594,458.18060302734375,109.26720428466795,lane_1,down,True,True,wrong_direction,True
8,2,car,439.7410888671875,78.0921859741211,476.5634460449219,109.34088134765624,458.15228271484375,93.71653747558594,458.15228271484375,109.34088134765624,lane_1,down,True,True,wrong_direction,True
9,2,car,439.7333068847656,78.0751724243164,476.5559997558594,109.30999755859376,458.1446533203125,93.6925811767578,458.1446533203125,109.30999755859376,lane_1,down,True,True,wrong_direction,True
10,2,car,439.7686767578125,78.11943054199219,476.5007019042969,109.25198364257812,458.13470458984375,93.68570709228516,458.13470458984375,109.25198364257812,lane_1,down,True,True,wrong_direction,True
11,2,car,439.6575927734375,78.1053695678711,476.55609130859375,109.37823486328124,458.1068420410156,93.74180603027344,458.1068420410156,109.37823486328124,lane_1,down,True,True,wrong_direction,True
12,2,car,439.572509765625,78.10027313232422,476.5365905761719,109.41995239257812,458.0545654296875,93.76011657714844,458.0545654296875,109.41995239257812,lane_1,down,True,True,wrong_direction,True
13,2,car,439.5845031738281,78.0927734375,476.5133056640625,109.37960815429688,458.04888916015625,93.73619079589844,458.04888916015625,109.37960815429688,lane_1,down,True,True,wrong_direction,True
14,2,car,439.5778198242187,78.10533142089844,476.4200439453125,109.3052215576172,457.9989318847656,93.7052764892578,457.9989318847656,109.3052215576172,lane_1,down,True,True,wrong_direction,True
15,2,car,439.5965881347656,78.1024169921875,476.375,109.22474670410156,457.98577880859375,93.66358184814452,457.98577880859375,109.22474670410156,lane_1,down,True,True,wrong_direction,True
16,2,car,439.6241760253906,78.08466339111328,476.3487548828125,109.13579559326172,457.9864501953125,93.6102294921875,457.9864501953125,109.13579559326172,lane_1,down,True,True,wrong_direction,True
17,2,car,439.6907958984375,78.13324737548828,476.28961181640625,109.04578399658205,457.9902038574219,93.58951568603516,457.9902038574219,109.04578399658205,lane_1,down,True,True,wrong_direction,True
18,2,car,440.1313781738281,78.19720458984375,476.3825988769531,108.71321105957033,458.2569885253906,93.45520782470705,458.2569885253906,108.71321105957033,lane_1,down,True,True,wrong_direction,True
19,2,car,439.9181518554687,78.1302719116211,476.528564453125,108.92037963867188,458.2233581542969,93.52532958984376,458.2233581542969,108.92037963867188,lane_1,down,True,True,wrong_direction,True
19,47,motorcycle,416.4228515625,123.11602783203124,440.6109313964844,156.52537536621094,428.5169067382813,139.82070922851562,428.5169067382813,156.52537536621094,lane_2,up,True,False,wrong_lane,True
20,2,car,440.3997192382813,78.07582092285156,477.26214599609375,108.9676513671875,458.8309326171875,93.52173614501952,458.8309326171875,108.9676513671875,lane_1,down,True,True,wrong_direction,True
20,47,motorcycle,414.8270568847656,117.55567169189452,440.6268005371094,153.69268798828125,427.7269287109375,135.62417602539062,427.7269287109375,153.69268798828125,lane_2,up,True,False,wrong_lane,True
21,2,car,440.9352111816406,77.98653411865234,478.40771484375,109.23241424560548,459.67144775390625,93.6094741821289,459.67144775390625,109.23241424560548,lane_1,down,True,True,wrong_direction,True
21,47,motorcycle,414.6674499511719,116.67020416259766,438.5070495605469,150.1120147705078,426.5872497558594,133.39111328125,426.5872497558594,150.1120147705078,lane_2,up,True,False,wrong_lane,True
22,2,car,441.2445373535156,77.95536804199219,479.0854187011719,109.32501983642578,460.16497802734375,93.64019775390624,460.16497802734375,109.32501983642578,lane_1,down,True,True,wrong_direction,True
22,47,motorcycle,414.7829895019531,117.44196319580078,436.4789733886719,147.63934326171875,425.6309814453125,132.5406494140625,425.6309814453125,147.63934326171875,lane_2,up,True,False,wrong_lane,True
23,2,car,441.28375244140625,77.98804473876953,479.2481384277344,109.27444458007812,460.2659301757813,93.63124084472656,460.2659301757813,109.27444458007812,lane_1,down,True,True,wrong_direction,True
24,2,car,440.4695434570313,78.0313949584961,478.1897888183594,109.03811645507812,459.32965087890625,93.53475952148438,459.32965087890625,109.03811645507812,lane_1,down,True,True,wrong_direction,True
